pattern,support,num_edges,edge_keys
59804bf45feae328bfcefea0,0.7142857313156128,2,"[0, 1]"
59804c105feae328bfcf008c,0.3214285671710968,3,"[0, 1, 14]"
59804c2c5feae328bfcf02fa,0.3214285671710968,4,"[0, 1, 14, 15]"
59804c675feae328bfcf09e8,0.0714285746216774,5,"[0, 1, 14, 15, 16]"
59804c675feae328bfcf0965,0.1785714328289032,5,"[0, 1, 14, 15, 38]"
59804c675feae328bfcf09d7,0.0714285746216774,5,"[0, 1, 14, 15, 59]"
59804c675feae328bfcf09bb,0.0714285746216774,5,"[0, 1, 14, 15, 63]"
59804c495feae328bfcf0601,0.0714285746216774,4,"[0, 1, 14, 16]"
59804c675feae328bfcf09e4,0.0714285746216774,5,"[0, 1, 14, 16, 65]"
59804c495feae328bfcf0580,0.1785714328289032,4,"[0, 1, 14, 38]"
59804c675feae328bfcf09ee,0.0714285746216774,5,"[0, 1, 14, 38, 63]"
59804c675feae328bfcf0963,0.1785714328289032,5,"[0, 1, 14, 38, 65]"
59804c675feae328bfcf0a29,0.0714285746216774,5,"[0, 1, 14, 38, 67]"
59804c495feae328bfcf05ff,0.0714285746216774,4,"[0, 1, 14, 59]"
59804c675feae328bfcf09d3,0.0714285746216774,5,"[0, 1, 14, 59, 65]"
59804c495feae328bfcf0606,0.0714285746216774,4,"[0, 1, 14, 63]"
59804c2c5feae328bfcf02f8,0.3214285671710968,4,"[0, 1, 14, 65]"
59804c675feae328bfcf09c7,0.0714285746216774,5,"[0, 1, 14, 65, 67]"
59804c495feae328bfcf0610,0.0714285746216774,4,"[0, 1, 14, 67]"
59804c105feae328bfcf0097,0.7142857313156128,3,"[0, 1, 15]"
59804c495feae328bfcf05f0,0.1785714328289032,4,"[0, 1, 15, 16]"
59804c675feae328bfcf09a9,0.0714285746216774,5,"[0, 1, 15, 16, 37]"
59804c675feae328bfcf0a25,0.0714285746216774,5,"[0, 1, 15, 16, 38]"
59804c675feae328bfcf09ea,0.0714285746216774,5,"[0, 1, 15, 16, 46]"
59804c675feae328bfcf0a23,0.0714285746216774,5,"[0, 1, 15, 16, 52]"
59804c495feae328bfcf05d1,0.1071428582072258,4,"[0, 1, 15, 37]"
59804c675feae328bfcf0995,0.1071428582072258,5,"[0, 1, 15, 37, 38]"
59804c715feae328bfcf0c9f,0.0714285746216774,5,"[0, 1, 15, 37, 50]"
59804c675feae328bfcf0993,0.1071428582072258,5,"[0, 1, 15, 37, 52]"
59804c675feae328bfcf09a7,0.0714285746216774,5,"[0, 1, 15, 37, 59]"
59804c715feae328bfcf0c9e,0.0714285746216774,5,"[0, 1, 15, 37, 60]"
59804c495feae328bfcf0557,0.25,4,"[0, 1, 15, 38]"
59804c675feae328bfcf0a15,0.0714285746216774,5,"[0, 1, 15, 38, 59]"
59804c675feae328bfcf09ad,0.0714285746216774,5,"[0, 1, 15, 38, 63]"
59804c2c5feae328bfcf02fb,0.3214285671710968,4,"[0, 1, 15, 46]"
59804c675feae328bfcf0961,0.1785714328289032,5,"[0, 1, 15, 46, 52]"
59804c675feae328bfcf09d9,0.0714285746216774,5,"[0, 1, 15, 46, 59]"
59804c675feae328bfcf09bd,0.0714285746216774,5,"[0, 1, 15, 46, 63]"
59804c495feae328bfcf0556,0.25,4,"[0, 1, 15, 52]"
59804c675feae328bfcf0a13,0.0714285746216774,5,"[0, 1, 15, 52, 59]"
59804c675feae328bfcf09ab,0.0714285746216774,5,"[0, 1, 15, 52, 63]"
59804c495feae328bfcf05ef,0.1785714328289032,4,"[0, 1, 15, 59]"
59804c675feae328bfcf0944,0.0714285746216774,4,"[0, 1, 15, 63]"
59804c2c5feae328bfcf02e2,0.0714285746216774,4,"[0, 1, 15, 72]"
59804c2c5feae328bfcf02e3,0.0714285746216774,4,"[0, 1, 15, 72]"
59804c105feae328bfcf0073,0.1785714328289032,3,"[0, 1, 16]"
59804c665feae328bfcf0930,0.0714285746216774,4,"[0, 1, 16, 37]"
59804c675feae328bfcf0975,0.0714285746216774,5,"[0, 1, 16, 37, 38]"
59804c675feae328bfcf0973,0.0714285746216774,5,"[0, 1, 16, 37, 52]"
59804c715feae328bfcf0caa,0.0714285746216774,5,"[0, 1, 16, 37, 60]"
59804c675feae328bfcf09a5,0.0714285746216774,5,"[0, 1, 16, 37, 65]"
59804c495feae328bfcf0592,0.0714285746216774,4,"[0, 1, 16, 38]"
59804c675feae328bfcf0a21,0.0714285746216774,5,"[0, 1, 16, 38, 65]"
